year,type,authors,title,venue,status,link,link_label
2025,Article,"Moody, E. K., Anania, K., Boersma, K. S., Butts, T. J., Corman, J. R., Cruz, S., Farrell, W. R., Fonseca, K. N., et al.",Linking functional responses and effects with stoichiometric traits,Ecology 106(4): e70080,Published,https://doi.org/10.1002/ecy.70080,10.1002/ecy.70080
2022,Article,"Corrêa, R. F., Macedo, R. L., Fonseca, K. N., Thiago, M. G. R., Miranda, V. B. S., Orsi, M. L., Portugal, S. G. M., & Branco, C. W. C.","First report of the invasive Ceratium furcoides in Paracambi Reservoir, RJ",Lakes & Reservoirs: Research & Management 27: e12400,Published,https://doi.org/10.1111/lre.12400,10.1111/lre.12400
2026,Article,"Tomczyk, N., Smith, C., Nessel, M., Fonseca, K., Bravo, V., Corman, J., Moody, E., & Halvorson, H.",Environmental filtering outweighs resource stoichiometry in macroinvertebrate community stoichiometry across North America,Freshwater Science,Published,https://doi.org/10.1086/743968,10.1086/743968
